Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://uat-dealer.cudl.com,134,177,61,574,925,1659,24,1679,0.000%,.45537,0.52,0.15
/Home/Login,134,254,112,874,1032,1133,49,2568,0.000%,.45544,19.55,0.37
/Account/Login,134,1532,903,3429,3700,4164,585,4460,0.000%,.45465,1.38,0.47
/CUDL,134,175,159,314,381,620,37,707,0.000%,.45717,19.56,1.10
/CUDL/styles/lending,134,134,86,270,333,621,34,750,0.000%,.45709,23.70,1.09
/css,134,454,422,519,622,1485,300,1713,0.000%,.45636,0.74,0.15
/CUDL/scripts/Libraries,134,494,344,1026,1177,1641,87,3932,0.000%,.45593,127.79,1.07
/CUDL/scripts/CUDLApp,134,227,203,407,507,687,41,830,0.000%,.45576,47.72,1.06
/CUDL/CudlWebConfig/GetCudlWebConfig,134,340,260,566,791,968,189,969,0.000%,.45546,1.43,1.05
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,134,106,87,217,248,438,24,459,0.000%,.45539,0.21,1.30
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,134,99,81,157,213,391,26,628,0.000%,.45523,0.21,1.30
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,134,238,196,261,396,778,127,3142,0.000%,.45487,0.43,0.45
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,134,60,50,70,107,325,23,326,0.000%,.45500,0.45,0.55
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,134,55,50,76,86,290,26,306,0.000%,.45496,0.36,0.62
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,134,135,96,212,237,1250,31,1261,0.000%,.45487,0.80,1.30
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,134,97,90,135,173,389,25,490,0.000%,.45484,0.47,1.30
/DealerPortal/DealerPortalAPI/v1/User,268,77,59,97,177,374,32,1303,0.000%,.90944,1.12,1.14
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,134,143,95,222,286,778,30,3128,0.000%,.45495,0.35,1.30
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,134,119,92,190,266,584,26,1609,0.000%,.45485,0.30,1.29
/DealerPortal/Lending/v1/SellerFilters/,134,369,196,769,1355,2221,80,2624,0.000%,.45459,61.91,0.53
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,134,75,54,149,222,334,27,343,0.000%,.45477,0.40,0.55
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,134,181,107,218,298,3266,29,3307,0.000%,.45456,0.65,1.29
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,134,100,93,155,179,351,27,497,0.000%,.45452,0.47,1.30
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,134,130,90,173,217,1267,27,3288,0.000%,.45438,0.80,1.29
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,134,124,88,161,193,622,26,3221,0.000%,.45425,0.36,1.30
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,134,101,93,167,195,346,29,380,0.000%,.45413,0.50,1.30
/API/DealQueue/v1/DealQueue?count=100,134,454,298,1030,1199,1915,84,2381,0.000%,.45268,54.77,1.37
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,133,126,100,218,261,403,38,1183,0.000%,.45091,0.63,1.30
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,133,141,97,224,300,764,29,3205,0.000%,.45096,0.46,1.30
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,133,248,161,251,518,3144,29,3172,0.000%,.45073,0.38,0.61
/API/MessageBoard/v1/messages,133,135,110,217,277,431,30,1217,0.752%,.45066,0.65,1.29
/API/DMS/v1/DealerDmsRecords/CleanApps,132,129,99,241,380,570,30,767,0.000%,.44725,0.23,1.37
/API/DMS/v1/DealerDmsRecords,132,116,95,195,236,528,28,721,0.000%,.44728,0.26,1.31
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDmsFirebaseToken,132,112,57,181,261,811,24,3160,0.000%,.44727,0.36,0.64
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueue.html,132,127,102,218,366,399,32,525,0.000%,.44713,0.50,1.35
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueueComponent.html,132,115,95,173,211,367,31,1299,0.000%,.44704,1.81,1.35
/CUDL/{SiteVersion}/App/Common/Views/AppSummary.html,132,101,95,134,203,316,28,438,0.000%,.44696,2.66,1.35
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueueFiltersComponent.html,132,114,98,162,185,461,27,1303,0.000%,.44676,1.35,1.35
/CUDL/{SiteVersion}/App/Forms/Views/FormsComponent.html,131,121,97,207,238,469,24,1234,0.000%,.45011,1.04,1.36
/CUDL/{SiteVersion}/App/AppDetails/Views/Lender.html,131,152,97,225,279,1261,24,1336,0.000%,.44998,0.73,1.35
/CUDL/{SiteVersion}/App/AppDetails/Views/DecisionHistory.html,131,115,97,193,236,536,29,630,0.000%,.44984,0.45,1.36
/API/DealQueue/v1/DealQueue?count=2500,1012,5548,5731,8436,9105,10670,1419,13474,0.000%,3.39201,10205.21,10.23
/CUDL/{SiteVersion}/App/Common/Views/appSetupDialog.html,116,293,197,293,460,3346,45,3593,0.000%,.44354,2.01,1.34
/DealerPortal/Lending/v1/rpc/Approvals/SmartApprovals,116,414,227,724,1300,3202,151,3297,0.000%,.44350,0.38,0.62
/DealerPortal/Lending/v1/rpc/Approvals/PreApprovals,116,1352,942,1881,2385,9876,738,10016,0.000%,.44219,3.89,0.68
/DealerPortal/Lending/v1/rpc/Approvals/OtherApprovals,113,281,126,635,964,3220,78,3285,0.000%,.43416,0.29,0.69
/DealerPortal/Lending/v1/MemberEligibility?lenderCode={applicationLenderCode},113,936,806,1380,1607,2176,713,2404,0.000%,.43245,0.37,0.55
/CUDL/{SiteVersion}/App/AppEntry/Views/AppEntry.html,110,298,179,265,432,3254,89,3359,0.000%,.42611,1.68,1.28
/CUDL/{SiteVersion}/App/AppEntry/Views/NavMenu.html,110,90,89,131,146,216,25,230,0.000%,.42634,0.63,1.28
/CUDL/{SiteVersion}/App/AppEntry/Views/SetupForm.html,110,99,83,135,152,231,24,1235,0.000%,.42634,0.57,1.28
/CUDL/{SiteVersion}/App/AppEntry/Views/DealStructure.html,110,108,86,125,143,1248,25,1270,0.000%,.42629,0.95,1.29
/CUDL/{SiteVersion}/App/AppEntry/Views/ApplicantForm.html,110,94,93,129,170,217,29,236,0.000%,.42624,1.65,1.29
/CUDL/{SiteVersion}/App/AppEntry/Views/Comment.html,110,104,96,160,224,366,26,367,0.000%,.42627,0.46,1.28
/CUDL/{SiteVersion}/App/AppEntry/Views/ApplicantResidence.html,110,92,87,143,156,282,30,322,0.000%,.42626,0.80,1.29
/CUDL/{SiteVersion}/App/AppEntry/Views/ApplicantPreviousResidenceForm.html,109,102,84,138,171,359,27,1265,0.000%,.42498,0.58,1.29
/DealerPortal/Lending/v1/rpc/Applications/GenerateDealerApplicationId,109,285,157,402,680,3432,34,3492,0.000%,.42412,0.29,0.67
/DealerPortal/Lending/v1/SystemType,109,122,103,188,272,390,46,428,0.000%,.42409,11.05,0.59
/CUDL/{SiteVersion}/App/AppEntry/Views/ApplicantCurrentEmploymentForm.html,109,140,93,175,244,1238,27,3285,0.000%,.42395,0.86,1.29
/CUDL/{SiteVersion}/App/AppEntry/Views/Collateral.html,109,147,91,144,276,1241,32,3244,0.000%,.42397,1.14,1.28
/CUDL/{SiteVersion}/App/AppEntry/Views/ApplicantPreviousEmploymentForm.html,109,95,90,140,179,253,31,362,0.000%,.42401,0.51,1.29
/DealerPortal/Lending/v1/rpc/Lender/GetLoanTypeConfiguration?lenderCode={applicationLenderCode}&loanType=Auto,109,207,119,263,587,1270,81,3289,0.000%,.42319,1.08,0.62
/CUDL/{SiteVersion}/App/AppEntry/Views/InventorySearch.html,108,109,93,173,201,289,26,1197,0.000%,.43334,0.77,1.31
/DealerPortal/DealerPortalAPI/v1/Inventory,108,87,64,116,151,224,31,1597,0.000%,.43344,0.26,0.61
/CUDL/{SiteVersion}/App/AppEntry/Views/SavingAppModal.html,108,129,89,158,237,396,28,3266,0.000%,.43288,0.66,1.31
/DealerPortal/Lending/v1/rpc/Applications/Submit,108,790,598,1326,1505,3481,478,3807,0.000%,.43197,2.70,1.97
/API/DealQueue/v1/DealQueue,108,282,166,339,1269,3206,35,3226,0.000%,.43223,0.76,1.31
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundConfiguration,108,139,64,197,249,1742,33,2662,0.000%,.43226,0.31,0.70
/Account/CUDLLogOut,108,125,57,316,491,1132,30,1514,0.000%,.43197,0.43,1.06
TOTAL,9476,792,116,2641,6014,8496,23,13474,0.011%,31.26382,10442.51,75.85
